place,latitude,longitude
민속자연사박물관,33.5066,126.5316
해녀박물관,33.523656,126.8633
서핑,33.554638,126.798758
보롬왓,33.413498,126.752775
서바이벌 게임,33.263787,126.385443
쇠소깍,33.252389,126.623544
우도,33.504047,126.954327
에코랜드,33.446952,126.667845
제주민속오일시장,33.496561,126.475688
성산일출봉,33.457228,126.944192
해녀 체험,33.52019,126.90416
사려니숲길,33.425519,126.660895
용머리해안,33.231766,126.314791
감귤따기 체험,33.258627,126.354256
정방폭포,33.244816,126.571986
협재해수욕장,33.394599,126.23994
논짓물,33.237089,126.389334
아쿠아플라넷 제주,33.43301,126.927482
스노쿨링,33.234347,126.432512
씨워커,33.550794,126.652875
황우지해안,33.241386,126.550082
카트테마파크,33.288839,126.58805
ATV,33.274826,126.39631
월정리해변,33.55581,126.796415
새별오름,33.363674,126.360218
중문색달해수욕장,33.245006,126.410834
미로공원,33.536585,126.772529
유민미술관,33.429019,126.932316
주상절리대,33.237716,126.425115
천지연 폭포,33.24686,126.554419
아르떼뮤지엄 제주,33.396639,126.345125
카멜리아힐,33.289908,126.368302
함덕해수욕장,33.543699,126.669881
선셋요트투어,33.557785,126.737254
수풍석뮤지엄,33.300976,126.391981
본태박물관,33.303683,126.392556
섭지코지,33.424257,126.931142
오설록티뮤지엄,33.305847,126.289548
동문재래시장,33.513088,126.528067
도치돌 알파카 목장,33.409835,126.366744
송악산둘레길,33.202648,126.291815
한라산영실코스,33.360758,126.529454
테디베어박물관,33.250243,126.41224
바다 낚시,33.239293,126.558734
올레길,33.241038,126.548052
이중섭 미술관,33.245812,126.565033
승마 체험,33.242288,126.445342
서우봉,33.549623,126.676069
제주절물자연휴양림,33.440008,126.629928
감귤박물관,33.271642,126.607716
비자림,33.484385,126.806491
만장굴,33.527996,126.770577
